gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,1,0,-1.2774445836787656,0,1,-1.1603229160349193,-0.992706653704813,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,0,0.06632741908223598,1,0,-0.2596289419448806,-0.17222145151783136,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
1,0,0,0,-1.2367242199587352,1,1,-0.3626603559551803,-0.9581603727749387,1,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,0,0.5142514200025698,0,0,-0.7465354629935549,-0.19373015133049254,0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
0,0,0,0,-1.2367242199587352,1,1,0.19736523310080326,-0.9389679944805641,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,-0.9924020376385531,1,1,1.1595456961969886,-0.6438686330508528,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
1,0,0,1,-0.4223169455581282,1,1,0.8089065291619363,-0.14579332600442815,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
0,0,0,0,-0.9109613101984924,0,0,-1.1636465100352518,-0.8726770786476955,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,1,0,-0.1779947632379461,1,1,1.330710787214099,0.33805314885823606,1,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
1,0,0,1,1.2064976032430856,1,0,-0.28621769394753876,0.5330212400831584,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
1,0,1,1,-0.7888002190384014,1,1,-0.4922805219681379,-0.7466912482578413,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,0,-0.6666391278783103,1,0,-1.5225946620711341,-0.8616910965895364,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,1,0,1.0436161483629645,1,0,1.182810854199314,1.5006480091936787,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False
1,0,0,0,0.6771328748826912,1,1,1.2941512532104444,1.2161596063382136,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
1,0,0,0,-0.30015585439803716,1,1,1.3539759452164248,0.1792196733185843,0,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
0,0,1,1,1.4915401492832983,1,0,1.611554480242174,2.477495943967473,0,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,0,0,0.7992939660427822,1,0,-1.4660935640654862,-0.5545468632647348,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
1,0,0,1,1.5729808767233588,1,0,1.393859073220412,2.2512023617333417,0,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False
0,0,1,1,-0.9109613101984924,1,0,-0.31779183695069496,-0.7727664104922675,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
0,0,0,0,-0.46303730927815856,1,1,0.8404806721650927,-0.1839574805438167,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
1,1,0,0,-1.2774445836787656,0,1,-0.8346107040023594,-0.9883828535373447,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
1,0,1,0,-0.8295205827584317,1,0,-1.4943441130683104,-0.9166430670852687,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False
1,0,0,0,-1.2774445836787656,1,0,-1.4827115340671475,-0.9969863334624091,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,1,0,1.0436161483629645,1,1,-0.1615829189350795,0.540587890376228,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False
1,0,1,1,0.6771328748826912,1,0,-0.17155370093607614,0.304631938380101,0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
0,0,0,0,-0.0965540357978854,1,1,-0.31446824295036285,-0.3305696025488898,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,1,1,0.5956921474426305,1,1,1.1495749141959914,1.0894678493904049,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
1,0,1,1,-1.2774445836787656,0,0,-1.1486903370337564,-0.9925522322702606,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,0,1.6137012404433893,1,1,0.8471278601657574,1.8043508505484542,0,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,0,1,-0.62591876415828,1,1,-0.0020504069191315333,-0.5235963957394387,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
0,1,1,0,1.5729808767233588,1,1,1.0498670941860242,1.979729479790153,0,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False
1,1,1,0,-1.2367242199587352,1,1,1.0216165451832002,-0.9257318715189264,0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
0,0,1,1,-0.21871512695797646,1,0,0.046141706085686136,-0.17886157320358623,0,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True
1,0,0,0,-1.2774445836787656,1,0,-1.481049737066981,-0.9969642732574732,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
1,1,0,0,-1.2774445836787656,1,0,-0.6484894399837535,-0.9859121105845057,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,1,1,1.6137012404433893,1,0,1.1678546811978192,2.193603166645281,0,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
1,0,0,0,-1.1145631287986442,1,1,0.16412929309748078,-0.8660590171668767,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,0.5549717837226001,1,1,0.33363258711442517,0.5596479074409862,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1,0,0,0,0.06632741908223598,1,1,1.3822264942192488,0.5600670513347714,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
0,0,0,0,-0.8702409464784621,1,1,1.099721004191008,-0.5181695853251672,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
1,0,1,1,-0.9109613101984924,1,0,-0.5055748979694671,-0.7959958062899415,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
0,0,1,1,1.5322605130033284,1,1,0.14751132309581955,1.143824194352864,0,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False
0,0,1,1,-0.62591876415828,1,0,-1.462769970065154,-0.8213429817614776,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,0,0,0,1.247217966963116,1,1,0.5014740841312035,1.139015069676802,0,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False
0,0,1,0,-0.7888002190384014,1,1,0.3801629031190768,-0.5728568333616668,0,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False
0,0,0,0,0.6771328748826912,1,1,0.6560212051466532,0.7177754564226839,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1,0,0,0,-1.2367242199587352,1,0,-0.5155456799704636,-0.9630797984756807,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,-1.2367242199587352,1,1,0.5280628361338618,-0.9422770252209735,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1,0,0,0,0.7992939660427822,1,1,0.4981504901308714,0.8550340515348664,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False
0,0,1,1,1.4915401492832983,1,1,-0.020330173920958795,0.871049760318448,0,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False
0,1,0,0,0.43281069256250915,1,1,0.8471278601657574,0.6877956379145747,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,0,0,-0.7073594915983407,1,1,1.141265929195161,-0.37654306963564443,1,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
0,1,1,0,-0.30015585439803716,1,1,0.1574821050968162,-0.23260023242783504,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
0,1,1,0,-0.9924020376385531,1,1,0.5280628361338618,-0.7264620403314718,1,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0,1,1,1,1.125056875803025,1,1,0.33529438411459117,0.9602832892848219,0,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False
1,1,0,0,-0.5851984004382496,1,1,1.0199547481830342,-0.23264435283770724,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,1,1,1.247217966963116,1,1,1.1595456961969886,1.778650711797941,0,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False
1,1,1,1,1.369379058123207,1,1,1.4520219682262263,2.11623802793451,0,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False
0,0,1,1,0.06632741908223598,1,0,-1.3231790220511994,-0.6113077705652242,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
0,0,0,0,1.6137012404433893,1,1,1.42044782522307,2.4592080340754765,0,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,1,0,0.5956921474426305,1,1,1.1877962451998125,1.0709152170391765,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
